EmailAddress,UserName,BirthDate,Age,Gender,CountryOfBirth
anita46@example.com,jennifer06,2000-03-28,25,M,Guinea
matthewkeller@example.net,james92,2001-08-21,24,F,Faroe Islands
wjones@example.org,xleach,2005-05-11,20,M,Niger
lopezsandra@example.net,umosley,1948-12-19,77,F,Turkey
hopkinsanna@example.com,kellyalexander,1948-08-21,77,M,Sudan
coxmichael@example.com,lijames,1952-04-16,73,F,Djibouti
vernon47@example.org,griffinbrian,2001-11-05,24,F,Marshall Islands
ojohnson@example.net,amberali,1992-10-17,33,M,Sierra Leone
sara01@example.com,qhanson,1990-11-13,35,M,Afghanistan
cobbkevin@example.com,donaldwelch,1997-06-06,28,M,Singapore
