EmailAddress,IterationNo,Year,Category,MovieTitle,ReleaseDate,FName,MName,LName
hopkinsanna@example.com,66,2011,Best Actor,A Star Is Born,1989-12-15,Albert,,Mirisch
matthewkeller@example.net,79,1963,Best Production,Sesión continua,1966-10-19,Wendy,,Butler
wjones@example.org,71,1994,Best Actress,Ice Station Zebra,1954-12-11,Tony,,Gershwin
matthewkeller@example.net,33,1970,Best Cinematography,Hatari!,2021-09-02,Steven,,Hertzfeldt
wjones@example.org,88,2003,Best Cinematography,Amarcord,1963-12-12,James,,Upham
cobbkevin@example.com,79,2011,Best Director,Moulin Rouge,1927-08-12,Lily,Walton,Niccol
anita46@example.com,97,2002,Best Production,This Is Cinerama,1961-05-26,Anne,,Harburg
coxmichael@example.com,59,1967,Best Cinematography,Eraser,1981-08-21,Arthur,,Samuel
hopkinsanna@example.com,89,2023,Best Picture,The Old Mill,2014-08-29,Adrien,,Rathbone
hopkinsanna@example.com,91,1999,Best Picture,Sicario,2018-08-31,Jerome,del,Pantoliano
